source_id,pf,pf_error,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,radius_gspphot,ew_espels_halpha,spectraltype_esphs
4658039710832195200,2.9115728866339894,9.1524744E-5,6025.007,3.8696,-1.0426,3084.934,0.2579,1.7722,0.07133276,F
4658041707905510912,4.166964178709102,2.0101762E-4,5303.923,3.4977,-0.781,3370.9656,0.261,2.7323,0.0020608334,F
4658044491044146432,3.4963517744884873,9.192807E-5,5228.6235,3.6049,-0.5109,3360.7288,0.0098,2.4503,0.15803218,G
4658046002872198528,4.684897905487252,1.6742878E-4,5810.485,3.3378,-0.578,5065.9053,0.5152,4.5402,0.08369858,G
4658046621347287424,2.5742358719939955,1.4547435E-4,,,,,,,,
4658048717291383424,6.227153069761989,3.3539836E-4,5486.426,3.1405,-0.7906,5960.6265,0.1345,5.6727,0.09004871,G
4658053557649384320,1.8411137032810119,6.766984E-5,5738.4775,4.65,-3.869,3089.2083,0.0377,0.6338,,
4658057199781916032,4.608302166759037,1.054947E-4,5243.1504,3.2811,-0.7301,4699.0615,0.1127,3.8129,0.024906792,G
4658058338020060800,5.972123211076766,3.3495273E-4,4955.7334,2.3439,-1.3455,6492.134,0.2952,9.8452,0.17052391,F
4658058784696659200,4.748265703204353,1.8317747E-4,5423.8633,3.5732,-0.831,3309.6772,0.5904,2.537,0.1907001,F
4658059574973245056,2.7366562036189626,1.6476514E-4,5331.2617,4.3251,-3.8247,1543.3745,0.0181,1.0173,0.06504746,G
4658059609332965120,3.4337951342653312,0.0010982318,5985.679,3.7783,-1.1816,3028.1165,0.0336,1.9878,-0.07922691,F
4658060120487294720,4.155619721045659,1.0301244E-4,5657.872,3.4647,-0.8509,4313.67,0.3604,3.4531,-0.0018041161,G
4658060330887520512,5.044341230950868,7.1957137E-4,5364.101,4.2744,-3.9548,1160.1807,0.0334,1.1013,0.1438179,F
4658061872841838080,1.545924184713926,2.8273751E-5,,,,,,,,
4658066584362469504,3.9861269942576834,1.2107957E-4,5512.1055,3.5321,-0.4298,4409.556,0.0015,3.2938,0.12517464,F
4658073348979181440,1.8744963200289702,1.5539821E-5,6201.683,4.1543,-1.1214,2872.3518,0.6162,1.2228,0.18458384,F
4658075208659770880,2.025426364377004,8.3516614E-5,6012.6655,4.3592,-1.4923,2543.7834,0.4302,1.0264,-0.19594862,F
4658078434218021504,4.939181532245233,1.517727E-4,5861.776,3.2736,-1.5155,4633.7275,0.5666,4.3767,0.1461665,B
4658082046249896448,3.7120462196276596,4.917385E-5,,,,,,,0.23270087,F
4658082763450092800,3.3228308132040754,0.0012770974,6023.0723,3.8615,-1.0526,2771.0576,0.0962,1.7921,0.13675898,F
4658082866541725312,3.2679221518015655,1.234575E-4,5602.8413,3.6725,-1.1555,3081.9143,0.5158,2.1485,0.3433064,G
4658083966019351936,3.3458015397339116,4.7727837E-5,6103.3896,3.786,-0.2963,3869.5635,0.395,2.3679,-0.008242935,F
4658084004755969920,4.619752117757042,7.745394E-5,5447.832,3.5746,-0.2774,3953.1096,9.0E-4,3.1564,0.0662732,F
4658084726310212608,3.117433157901996,9.920116E-5,5711.963,3.8707,-0.2814,3348.7874,0.0044,1.951,0.17067017,G
4658086646078877056,3.8985403937972167,2.4921112E-5,,,,,,,-0.03622501,B
4658088604613882752,2.2149311183733187,3.175529E-5,5249.585,4.7423,-1.7843,1296.833,1.0328,0.5455,,
4658088913822022912,3.3209347133110163,6.663358E-5,5301.3467,3.6053,-0.6741,3641.7515,0.0463,2.4071,0.25036708,F
4658090052071101568,5.0631735393499175,1.1374469E-4,5483.3394,3.4294,-0.2586,4628.882,0.0028,3.821,0.10566773,F
4658094999876488960,4.281370374907919,1.9808159E-4,5775.6294,3.7491,-0.1415,3336.1116,0.4879,2.5197,0.036021654,G
4658098882526211200,1.1516414069624643,3.662941E-5,,,,,,,-0.22534007,B
4658102559017763072,3.663414493336697,2.4293459E-4,5648.0034,3.6266,-1.2831,3471.85,0.798,2.2785,0.016642848,K
4658108537614585728,3.019216898601962,4.7735346E-5,5684.126,4.105,-0.8966,2638.7075,0.485,1.6391,0.05689288,F
4658109018650729856,5.832014531253135,1.8880704E-4,6097.2812,3.655,0.0353,3695.565,0.5252,3.0767,0.20158742,F
4658113725937642624,3.7867297868587486,1.4977982E-4,5261.631,3.5293,-0.7043,3844.4385,0.1037,2.6149,0.119155355,F
4658119837629318912,4.744314858096858,1.3078192E-4,,,,,,,0.08299794,F
4116810545125634432,3.425382016401032,1.06282314E-4,5178.2593,3.3869,-0.3341,1694.9642,2.5638,3.8432,0.0842624,G
4116820887409126912,2.0257416294232686,7.77809E-5,,,,,,,0.32188827,A
4116883452108512128,2.0027907923842845,1.369278E-4,6022.265,3.7374,-2.8167,1579.3512,3.4582,1.9616,-0.114335276,M
4116885101368691200,3.5585205374168414,1.04044375E-4,6085.6636,3.7096,-2.4537,1220.9163,3.2817,2.0622,0.0031106018,O
5248758861045373952,1.7654400808021866,1.2282372E-4,6028.8745,3.732,-2.4596,2065.361,0.5515,1.9764,0.21230333,unknown
4061718685994412288,3.6857606922705455,2.6565106E-4,4799.763,3.5575,0.2539,1058.6953,6.49,2.7591,,
5312989963826740992,2.4711077899285887,2.4061852E-5,,,,,,,0.12333643,O
5313250548085699712,3.3549412495165454,6.425722E-5,,,,,,,0.16809736,unknown
5313283533433607936,2.831864539819533,2.5366223E-4,,,,,,,0.17356743,B
5256178232392037120,2.8447913303536874,6.238306E-5,,,,,,,0.0050632874,unknown
6198435748631448832,1.0770095150318164,1.3553641E-4,6176.8247,3.7265,-1.1663,2733.0596,0.05,2.2416,0.30349246,B
2162268853891035648,2.758983037428543,5.2094772E-5,,,,,,,0.3080413,F
2162275240493961984,3.950541306447907,1.2579592E-5,,,,,,,0.118332885,O
4658927364482531712,1.8246559798574855,7.349482E-6,6019.545,4.3429,-0.7788,2599.9895,0.3972,1.0865,0.16841896,F
4658933892833711104,2.481973675087684,1.7428712E-5,5540.277,3.6091,-1.1527,4022.8706,0.2394,2.3209,0.13731267,G
4658939218593746816,3.563216167404944,3.4657733E-5,6327.239,3.8774,-0.1753,3473.9148,0.5704,2.2264,0.032825463,G
4658956123585603072,5.224582141071829,6.5823006E-5,5614.653,3.4469,-0.4588,4033.1553,0.3231,3.7839,0.12257831,F
4658970245439073664,2.907459925905621,2.3494018E-5,6013.9497,4.1043,-1.4126,2623.5366,0.6253,1.5583,0.2376775,F
4658970726475403264,3.6358879560543724,1.6963942E-5,6747.6763,3.9858,-0.1284,3421.9497,0.6398,2.018,0.10952186,F
4658978457388299136,4.675723434377226,2.500451E-4,5656.844,3.393,-0.6091,4538.4575,0.3829,4.0401,0.06719519,F
4658983783147768576,4.750525439035295,2.3254172E-5,,,,,,,0.1638981,F
4658984229824339072,5.042959355937852,1.4496571E-4,5861.7373,3.5759,-0.4893,3641.8374,0.171,3.1041,0.14340205,F
4658998386036208640,2.303009265511445,1.8081546E-5,5706.8164,3.7864,-1.0124,3550.3625,0.1927,1.9021,0.29967144,G
4659005910818874880,2.8935328604957484,7.696736E-5,5503.0073,3.6853,-0.9211,3384.6172,0.0995,2.1452,-0.06994072,G
4659023090689530112,4.784805979584535,5.2048017E-5,,,,,,,0.11433656,F
4659028760046275968,2.457411509834842,3.475661E-5,6327.2456,4.0892,-0.087,3343.888,0.2997,1.6269,0.049787533,F
